기준예선,배정예선,선박명,From,작업 시작지,작업 종료지,To,실제 스케줄 시작 시각,실제 스케줄 종료 시각,작업까지 이동 거리(km),작업까지 이동 시간(분),작업중 이동 거리(km),작업중 이동 시간(분),도선사,톤수,선종,최종 스케줄 시각,최초 스케줄 시각,최초 작업시작지,최초 작업종료지,최초 예선,최초 도선사,AIS 파일명 target,AIS 파일명 tug
동,"R,해,동",SWIFT ARROW,내항정계지,21,PAL,내항정계지,2024-06-20T12:34:36.000Z,2024-06-20T13:32:36.000Z,2.1,22.0,1.5,53.0,BC,28157,산물선(벌크선),2024-06-20T13:00:00.000Z,2024-06-20T13:00:00.000Z,21,PAL,R해동,,동보1호_SWIFT ARROW_2024-06-20_target_178_aisData.csv,동보1호_SWIFT ARROW_2024-06-20_tug_178_aisData.csv
Z,"Z,J,V,F3,Z",EAGLE VICTORIA,연안부두정계지,SKI 3,DONG,연안부두정계지,2024-06-20T14:23:36.000Z,2024-06-20T14:33:36.000Z,72.5,271.0,0.0,5.0,OS,154163,원유운반선,2024-06-20T14:30:00.000Z,2024-06-20T14:30:00.000Z,SKI 3,DONG,ZJVF3Z,,대성호_EAGLE VICTORIA_2024-06-20_target_179_aisData.csv,대성호_EAGLE VICTORIA_2024-06-20_tug_179_aisData.csv
H,"A,H",KOREA VENUS,연안부두정계지,PAL,GS-HD,연안부두정계지,2024-06-20T14:20:36.000Z,2024-06-20T15:21:36.000Z,40.0,183.0,3.3,56.0,RW,39543,석유제품 운반선,2024-06-20T14:00:00.000Z,2024-06-20T14:00:00.000Z,PAL,GS-HD,AD,,한창1호_KOREA VENUS_2024-06-20_target_180_aisData.csv,한창1호_KOREA VENUS_2024-06-20_tug_180_aisData.csv
미,미,XIN HAI 799,,PAL,N16,,2024-06-20T16:14:35.000Z,2024-06-20T16:55:35.000Z,1.5,8.0,1.7,36.0,BC,2998,일반화물선,2024-06-20T15:00:00.000Z,2024-06-20T16:00:00.000Z,PAL,N16,미,,뉴월미호_XIN HAI 799_2024-06-20_target_181_aisData.csv,뉴월미호_XIN HAI 799_2024-06-20_tug_181_aisData.csv
미,"W,미",SUN OCEAN,연안부두정계지,PAL,N11,,2024-06-20T13:22:35.000Z,2024-06-20T14:02:35.000Z,3.6,32.0,4.5,35.0,,5093,일반화물선,2024-06-20T13:00:00.000Z,2024-06-20T13:00:00.000Z,PAL,N11,S미,,뉴월미호_SUN OCEAN_2024-06-20_target_182_aisData.csv,뉴월미호_SUN OCEAN_2024-06-20_tug_182_aisData.csv
I,"I,K",KMTC NAGOYA,,NPPS,SNCT1,,2024-06-20T18:24:36.000Z,2024-06-20T18:56:36.000Z,6.0,167.0,2.0,27.0,CG,17933,풀컨테이너선,2024-06-20T18:10:00.000Z,2024-06-20T18:00:00.000Z,NPPS,SNCT1,IK,,쥬피터1호_KMTC NAGOYA_2024-06-20_target_183_aisData.csv,쥬피터1호_KMTC NAGOYA_2024-06-20_tug_183_aisData.csv
동,"R,동",CHANG SHIN,내항정계지,36,PAL,내항정계지,2024-06-20T18:46:36.000Z,2024-06-20T19:23:36.000Z,2.3,11.0,3.3,32.0,BC,9223,자동차운반선,2024-06-20T19:00:00.000Z,2024-06-20T04:00:00.000Z,PAL,36,M해동진,JU,동보1호_CHANG SHIN_2024-06-20_target_184_aisData.csv,동보1호_CHANG SHIN_2024-06-20_tug_184_aisData.csv
미,미,TY IRIS,,PAL,N11,,2024-06-20T17:59:35.000Z,2024-06-20T18:36:35.000Z,1.7,12.0,3.2,32.0,,4105,일반화물선,2024-06-20T17:30:00.000Z,2024-06-20T17:30:00.000Z,PAL,N11,N,,뉴월미호_TY IRIS_2024-06-20_target_185_aisData.csv,뉴월미호_TY IRIS_2024-06-20_tug_185_aisData.csv
T,"T,R",SAWASDEE RIGEL,연안부두정계지,PAL,ICT2,연안부두정계지,2024-06-20T22:20:36.000Z,2024-06-20T23:06:36.000Z,7.5,36.0,2.4,41.0,,18072,풀컨테이너선,2024-06-20T22:00:00.000Z,2024-06-20T22:00:00.000Z,PAL,ICT1,TR,,대창호_SAWASDEE RIGEL_2024-06-20_target_186_aisData.csv,대창호_SAWASDEE RIGEL_2024-06-20_tug_186_aisData.csv
I,"I,성",PACIFIC BEIJING,,NPPS,SNCT3,,2024-06-20T21:34:36.000Z,2024-06-20T21:45:36.000Z,3.1,156.0,1.1,7.0,BC,9940,풀컨테이너선,2024-06-20T21:00:00.000Z,2024-06-20T21:00:00.000Z,NPPS,SNCT3,I성,,쥬피터1호_PACIFIC BEIJING_2024-06-20_target_187_aisData.csv,쥬피터1호_PACIFIC BEIJING_2024-06-20_tug_187_aisData.csv
미,"미,O",JN IRIS,북항임시정계지,W9,SKI 1,연안부두정계지,2024-06-20T21:04:35.000Z,2024-06-20T22:01:35.000Z,7.5,32.0,4.4,52.0,JJ,8252,석유제품 운반선,2024-06-20T20:30:00.000Z,2024-06-20T20:30:00.000Z,W9,SKI 1,NO,,뉴월미호_JN IRIS_2024-06-20_target_188_aisData.csv,뉴월미호_JN IRIS_2024-06-20_tug_188_aisData.csv
H,"A,H,G,비,G",YOUNG SHIN,연안부두정계지,PAL,40,연안부두정계지,2024-06-20T21:43:36.000Z,2024-06-20T22:31:36.000Z,3.8,26.0,4.6,43.0,LY,47677,자동차운반선,2024-06-20T21:00:00.000Z,2024-06-20T21:00:00.000Z,PAL,40,AHG비G,,한창1호_YOUNG SHIN_2024-06-20_target_189_aisData.csv,한창1호_YOUNG SHIN_2024-06-20_tug_189_aisData.csv
N,"N,Q",FC DELLA,연안부두정계지,SOD1,PAL,,2024-06-20T22:23:36.000Z,2024-06-20T22:34:36.000Z,3.9,345.0,0.0,6.0,,4956,케미칼 운반선,2024-06-20T23:00:00.000Z,2024-06-20T02:00:00.000Z,PAL,SOD1,SN,,뉴엔젤호_FC DELLA_2024-06-20_target_190_aisData.csv,뉴엔젤호_FC DELLA_2024-06-20_tug_190_aisData.csv
진,"해,진",GOLD EAGLE,,43,PAL,,2024-06-20T23:19:36.000Z,2024-06-21T00:14:36.000Z,1.4,8.0,3.7,50.0,RW,5580,일반화물선,2024-06-20T23:30:00.000Z,2024-06-20T18:00:00.000Z,43,PAL,해진,,뉴약진호_GOLD EAGLE_2024-06-20_target_191_aisData.csv,뉴약진호_GOLD EAGLE_2024-06-20_tug_191_aisData.csv
N,"E,N",FC GRACE,,E6,N-HOB,,2024-06-21T04:32:36.000Z,2024-06-21T05:20:37.000Z,1.8,10.0,4.7,43.0,,4960,"Tanker, No additional information",2024-06-21T04:00:00.000Z,2024-06-21T04:00:00.000Z,E6,N-HOB,EN,,뉴엔젤호_FC GRACE_2024-06-21_target_192_aisData.csv,뉴엔젤호_FC GRACE_2024-06-21_tug_192_aisData.csv
H,"A,H",KOREA VENUS,연안부두정계지,GS-HD,PAL,연안부두정계지,2024-06-21T13:01:36.000Z,2024-06-21T13:29:36.000Z,1.3,6.0,1.6,23.0,,39543,석유제품 운반선,2024-06-21T13:30:00.000Z,2024-06-21T13:30:00.000Z,GS-HD,PAL,AH,,한창1호_KOREA VENUS_2024-06-21_target_193_aisData.csv,한창1호_KOREA VENUS_2024-06-21_tug_193_aisData.csv
M,M,STARSHIP DRACO,연안부두정계지,PAL,ICT1,연안부두정계지,2024-06-21T18:16:37.000Z,2024-06-21T18:52:37.000Z,7.5,38.0,3.4,31.0,,18354,풀컨테이너선,2024-06-21T18:00:00.000Z,2024-06-21T18:00:00.000Z,PAL,ICT1,M,,뉴마스호_STARSHIP DRACO_2024-06-21_target_194_aisData.csv,뉴마스호_STARSHIP DRACO_2024-06-21_tug_194_aisData.csv
I,I,KMTC SURABAYA,,HJIT1,NPPS,,2024-06-21T05:12:36.000Z,2024-06-21T05:49:36.000Z,0.8,50.0,0.0,32.0,JJ,28517,풀컨테이너선,2024-06-21T05:30:00.000Z,2024-06-21T05:30:00.000Z,HJIT1,NPPS,I,KK,쥬피터1호_KMTC SURABAYA_2024-06-21_target_195_aisData.csv,쥬피터1호_KMTC SURABAYA_2024-06-21_tug_195_aisData.csv
Z,"B,Z",OOCL AMERICA,연안부두정계지,NPPS,SNCT1,연안부두정계지,2024-06-21T11:37:36.000Z,2024-06-21T11:52:36.000Z,49.0,175.0,0.0,10.0,OS,66046,풀컨테이너선,2024-06-21T11:00:00.000Z,2024-06-21T10:00:00.000Z,NPPS,SNCT1,BZ,,대성호_OOCL AMERICA_2024-06-21_target_196_aisData.csv,대성호_OOCL AMERICA_2024-06-21_tug_196_aisData.csv
명,"비,명,해",ANDRIA,내항정계지,73,PAL,내항정계지,2024-06-21T09:39:36.000Z,2024-06-21T10:44:36.000Z,0.5,3.0,3.5,60.0,RW,39643,산물선(벌크선),2024-06-21T10:00:00.000Z,2024-06-21T10:00:00.000Z,73,PAL,비명해,,대명호_ANDRIA_2024-06-21_target_197_aisData.csv,대명호_ANDRIA_2024-06-21_tug_197_aisData.csv
