기준예선,배정예선,선박명,From,작업 시작지,작업 종료지,To,실제 스케줄 시작 시각,실제 스케줄 종료 시각,작업까지 이동 거리(km),작업까지 이동 시간(분),작업중 이동 거리(km),작업중 이동 시간(분),도선사,톤수,선종,최종 스케줄 시각,최초 스케줄 시각,최초 작업시작지,최초 작업종료지,최초 예선,최초 도선사,AIS 파일명 target,AIS 파일명 tug
I,"L,I",PACIFIC CARRIER,,NPPS,HJIT1,,2024-06-13T21:03:21.000Z,2024-06-13T23:07:21.000Z,5.0,22.0,0.0,0.0,HY,9940,풀컨테이너선,2024-06-13T21:00:00.000Z,2024-06-13T21:00:00.000Z,NPPS,HJIT1,성I,,쥬피터1호_PACIFIC CARRIER_2024-06-13_target_74_aisData.csv,쥬피터1호_PACIFIC CARRIER_2024-06-13_tug_74_aisData.csv
I,I,CONCERTO,,HJIT2,NPPS,,2024-06-13T16:49:21.000Z,2024-06-13T20:57:21.000Z,3.8,34.0,1.3,243.0,JU,9972,풀컨테이너선,2024-06-13T23:00:00.000Z,2024-06-13T12:00:00.000Z,NPPS,HJIT2,IK,,쥬피터1호_CONCERTO_2024-06-13_target_75_aisData.csv,쥬피터1호_CONCERTO_2024-06-13_tug_75_aisData.csv
N,"N,W",PACIFIC SAMBU,,SKI 2,PAL,,2024-06-14T04:20:22.000Z,2024-06-14T04:38:22.000Z,0.0,0.0,2.1,13.0,BJ,2748,석유제품 운반선,2024-06-14T04:30:00.000Z,2024-06-14T04:30:00.000Z,SKI 2,PAL,NW,BJ,뉴엔젤호_PACIFIC SAMBU_2024-06-14_target_76_aisData.csv,뉴엔젤호_PACIFIC SAMBU_2024-06-14_tug_76_aisData.csv
T,"T,E",FC DELLA,,PAL,N-HOB,연안부두정계지,2024-06-14T05:49:22.000Z,2024-06-14T06:33:22.000Z,7.4,42.0,4.2,39.0,,4956,케미칼 운반선,2024-06-14T05:30:00.000Z,2024-06-14T05:30:00.000Z,PAL,N-HOB,TE,,대창호_FC DELLA_2024-06-14_target_77_aisData.csv,대창호_FC DELLA_2024-06-14_tug_77_aisData.csv
T,"T,E",KEOJE CORDELIA,연안부두정계지,N-HOB,PAL,,2024-06-14T05:09:22.000Z,2024-06-14T05:37:22.000Z,8.4,38.0,1.5,23.0,,8689,석유제품 운반선,2024-06-14T05:30:00.000Z,2024-06-14T05:30:00.000Z,N-HOB,PAL,TE,,대창호_KEOJE CORDELIA_2024-06-14_target_78_aisData.csv,대창호_KEOJE CORDELIA_2024-06-14_tug_78_aisData.csv
N,"E,N",DL AMBER,연안부두정계지,SKI 3,PAL,,2024-06-14T04:14:22.000Z,2024-06-14T04:24:22.000Z,5.5,19.0,0.6,5.0,KN,7333,석유제품 운반선,2024-06-14T06:00:00.000Z,2024-06-14T06:00:00.000Z,SKI 3,PAL,EN,KN,뉴엔젤호_DL AMBER_2024-06-14_target_79_aisData.csv,뉴엔젤호_DL AMBER_2024-06-14_tug_79_aisData.csv
I,I,INCHEON VOYAGER,,NPPS,HJIT3,,2024-06-14T07:28:21.000Z,2024-06-14T07:39:21.000Z,0.0,2.0,0.0,6.0,,27828,풀컨테이너선,2024-06-14T06:30:00.000Z,2024-06-14T06:30:00.000Z,NPPS,HJIT3,I,,쥬피터1호_INCHEON VOYAGER_2024-06-14_target_80_aisData.csv,쥬피터1호_INCHEON VOYAGER_2024-06-14_tug_80_aisData.csv
H,"V,F1,H,G,A,F1,H,G",M.STAR,연안부두정계지,JANG,SKI 3,연안부두정계지,2024-06-14T08:06:21.000Z,2024-06-14T08:17:21.000Z,71.5,364.0,0.3,6.0,LO,160705,원유운반선,2024-06-14T07:00:00.000Z,2024-06-14T07:00:00.000Z,JANG,SKI 3,VF1HGAF1HG,LO,한창1호_M.STAR_2024-06-14_target_81_aisData.csv,한창1호_M.STAR_2024-06-14_tug_81_aisData.csv
미,"성,미",AN DONG 68,송도정계지,SNCT2,NPPS,연안부두정계지,2024-06-14T06:52:21.000Z,2024-06-14T07:21:21.000Z,18.7,68.0,6.7,24.0,KB,3988,세미(혼재)컨테이너선,2024-06-14T07:00:00.000Z,2024-06-14T07:00:00.000Z,SNCT2,NPPS,성미,KB,뉴월미호_AN DONG 68_2024-06-14_target_82_aisData.csv,뉴월미호_AN DONG 68_2024-06-14_tug_82_aisData.csv
I,I,DONGJIN CONFIDENT,,NPPS,SNCT2,송도정계지,2024-06-14T08:09:21.000Z,2024-06-14T09:14:21.000Z,1.6,35.0,3.0,60.0,,18340,풀컨테이너선,2024-06-14T07:00:00.000Z,2024-06-14T07:00:00.000Z,NPPS,SNCT2,I,,쥬피터1호_DONGJIN CONFIDENT_2024-06-14_target_83_aisData.csv,쥬피터1호_DONGJIN CONFIDENT_2024-06-14_tug_83_aisData.csv
N,"N,E",WOO SEOK,,PAL,SKI 2,연안부두정계지,2024-06-14T09:35:22.000Z,2024-06-14T09:56:22.000Z,23.6,208.0,1.9,16.0,,2362,석유제품 운반선,2024-06-14T08:30:00.000Z,2024-06-14T08:30:00.000Z,PAL,SKI 2,NE,,뉴엔젤호_WOO SEOK_2024-06-14_target_84_aisData.csv,뉴엔젤호_WOO SEOK_2024-06-14_tug_84_aisData.csv
M,"O,M",WOO HYUK,연안부두정계지,PAL,SOD1,연안부두정계지,2024-06-14T09:10:21.000Z,2024-06-14T09:45:21.000Z,1.6,15.0,2.2,30.0,,5025,석유제품 운반선,2024-06-14T08:30:00.000Z,2024-06-14T08:30:00.000Z,PAL,SOD1,OM,,뉴마스호_WOO HYUK_2024-06-14_target_85_aisData.csv,뉴마스호_WOO HYUK_2024-06-14_tug_85_aisData.csv
M,"해,M",XIN YU JIN XIANG,연안부두정계지,NIPT6,PAL,연안부두정계지,2024-06-14T10:46:22.000Z,2024-06-14T11:26:22.000Z,6.1,21.0,3.6,35.0,CG,12304,국제카페리,2024-06-14T11:00:00.000Z,2024-06-14T00:10:00.000Z,PAL,NIPT6,QE,KU,뉴마스호_XIN YU JIN XIANG_2024-06-14_target_86_aisData.csv,뉴마스호_XIN YU JIN XIANG_2024-06-14_tug_86_aisData.csv
I,"L,I",XIN TAI PING,,NPPS,HJIT2,,2024-06-14T14:24:21.000Z,2024-06-14T14:39:21.000Z,2.6,538.2,0.1,10.0,HY,5275,세미(혼재)컨테이너선,2024-06-14T14:00:00.000Z,2024-06-14T14:00:00.000Z,NPPS,HJIT2,LI,,쥬피터1호_XIN TAI PING_2024-06-14_target_87_aisData.csv,쥬피터1호_XIN TAI PING_2024-06-14_tug_87_aisData.csv
I,"I,K",SM TOKYO,송도정계지,HJIT2,NPPS,,2024-06-14T13:25:21.000Z,2024-06-14T13:40:21.000Z,5.3,81.0,0.0,10.0,CG,9928,풀컨테이너선,2024-06-14T13:30:00.000Z,2024-06-14T14:00:00.000Z,HJIT2,NPPS,IK,,쥬피터1호_SM TOKYO_2024-06-14_target_88_aisData.csv,쥬피터1호_SM TOKYO_2024-06-14_tug_88_aisData.csv
M,M,KEUN YANG,연안부두정계지,SSC,PAL,연안부두정계지,2024-06-14T13:09:22.000Z,2024-06-14T13:28:22.000Z,7.5,24.0,2.8,14.0,,5996,시멘트운반선,2024-06-14T13:30:00.000Z,2024-06-14T13:00:00.000Z,SSC,PAL,R,,뉴마스호_KEUN YANG_2024-06-14_target_89_aisData.csv,뉴마스호_KEUN YANG_2024-06-14_tug_89_aisData.csv
N,"V,N",ARAFURA LILY,연안부두정계지,NIPT6,PAL,연안부두정계지,2024-06-14T22:51:33.000Z,2024-06-14T23:26:33.000Z,10.8,520.0,3.3,30.0,GJ,12335,국제카페리,2024-06-14T23:00:00.000Z,2024-06-14T14:30:00.000Z,PAL,NIPT6,VS,,뉴엔젤호_ARAFURA LILY_2024-06-14_target_90_aisData.csv,뉴엔젤호_ARAFURA LILY_2024-06-14_tug_90_aisData.csv
명,"비,명,해",GOOD LUCK,내항정계지,43,DONG,내항정계지,2024-06-15T04:09:32.000Z,2024-06-15T05:14:32.000Z,1.6,10.0,3.0,60.0,YM,41074,산물선(벌크선),2024-06-15T04:30:00.000Z,2024-06-15T04:30:00.000Z,43,DONG,비명해,YM,대명호_GOOD LUCK_2024-06-15_target_91_aisData.csv,대명호_GOOD LUCK_2024-06-15_tug_91_aisData.csv
미,"미,O",SEONGHO PIOCE,연안부두정계지,SKI 4,PAL,연안부두정계지,2024-06-15T05:14:32.000Z,2024-06-15T05:42:32.000Z,21.4,116.0,0.5,23.0,JU,3698,석유제품 운반선,2024-06-15T05:30:00.000Z,2024-06-15T05:30:00.000Z,SKI 4,PAL,미O,JU,뉴월미호_SEONGHO PIOCE_2024-06-15_target_92_aisData.csv,뉴월미호_SEONGHO PIOCE_2024-06-15_tug_92_aisData.csv
T,T,MORNING VICTORY,연안부두정계지,RHC,PAL,,2024-06-15T08:40:33.000Z,2024-06-15T08:56:33.000Z,5.1,22.0,0.2,11.0,,5222,시멘트운반선,2024-06-15T09:00:00.000Z,2024-06-15T09:00:00.000Z,RHC,PAL,T,,대창호_MORNING VICTORY_2024-06-15_target_93_aisData.csv,대창호_MORNING VICTORY_2024-06-15_tug_93_aisData.csv
T,"R,T",HALLA FRONTIER,,PAL,RHC,,2024-06-15T10:18:33.000Z,2024-06-15T10:45:33.000Z,1.8,47.0,1.1,15.0,,4881,시멘트운반선,2024-06-15T09:30:00.000Z,2024-06-15T09:30:00.000Z,PAL,RHC,RT,,대창호_HALLA FRONTIER_2024-06-15_target_94_aisData.csv,대창호_HALLA FRONTIER_2024-06-15_tug_94_aisData.csv
H,"F2,H,J,A,F2",M.STAR,연안부두정계지,SKI 3,DONG,,2024-06-15T09:23:32.000Z,2024-06-15T09:44:32.000Z,0.0,0.0,0.0,16.0,BJ,160705,원유운반선,2024-06-15T09:30:00.000Z,2024-06-15T09:30:00.000Z,SKI 3,DONG,F2HJAF2,BJ,한창1호_M.STAR_2024-06-15_target_95_aisData.csv,한창1호_M.STAR_2024-06-15_tug_95_aisData.csv
T,"T,R",LINA,,PAL,SAMPYO,,2024-06-15T10:41:33.000Z,2024-06-15T11:07:33.000Z,0.2,2.0,2.2,21.0,,6983,산물선(벌크선),2024-06-15T10:30:00.000Z,2024-06-15T10:30:00.000Z,PAL,SAMPYO,TR,,대창호_LINA_2024-06-15_target_96_aisData.csv,대창호_LINA_2024-06-15_tug_96_aisData.csv
미,"미,R",DL RUBY,연안부두정계지,SKI 2,PAL,,2024-06-15T18:40:32.000Z,2024-06-15T19:02:32.000Z,6.5,28.0,2.4,17.0,,6716,석유제품 운반선,2024-06-15T19:00:00.000Z,2024-06-15T19:00:00.000Z,SKI 2,PAL,미R,,뉴월미호_DL RUBY_2024-06-15_target_97_aisData.csv,뉴월미호_DL RUBY_2024-06-15_tug_97_aisData.csv
미,"미,S",KS HONOR,,PAL,SKI 2,연안부두정계지,2024-06-15T20:17:32.000Z,2024-06-15T21:16:32.000Z,5.3,20.0,4.2,54.0,,7057,석유제품 운반선,2024-06-15T19:30:00.000Z,2024-06-15T19:30:00.000Z,PAL,SKI 2,미S,,뉴월미호_KS HONOR_2024-06-15_target_98_aisData.csv,뉴월미호_KS HONOR_2024-06-15_tug_98_aisData.csv
미,"E,미",CS SUMMER,연안부두정계지,W4,SKI 4,연안부두정계지,2024-06-15T08:39:32.000Z,2024-06-15T09:31:32.000Z,10.2,51.0,4.2,47.0,SK,7675,석유제품 운반선,2024-06-15T07:30:00.000Z,2024-06-15T07:50:00.000Z,W4,SKI 4,E미,SK,뉴월미호_CS SUMMER_2024-06-15_target_99_aisData.csv,뉴월미호_CS SUMMER_2024-06-15_tug_99_aisData.csv
I,"I,K",SITC HENGDE,송도정계지,NPPS,HJIT3,,2024-06-15T11:40:32.000Z,2024-06-15T11:59:32.000Z,6.1,22.0,1.2,19.0,GJ,18820,풀컨테이너선,2024-06-15T11:00:00.000Z,2024-06-15T11:00:00.000Z,NPPS,HJIT3,IK,,쥬피터1호_SITC HENGDE_2024-06-15_target_100_aisData.csv,쥬피터1호_SITC HENGDE_2024-06-15_tug_100_aisData.csv
I,I,DONGJIN CONTINENTAL,,NPPS,HJIT2,,2024-06-15T16:04:33.000Z,2024-06-15T16:18:33.000Z,10.0,144.0,0.0,0.0,,9946,풀컨테이너선,2024-06-15T16:00:00.000Z,2024-06-15T16:00:00.000Z,NPPS,HJIT2,I,,쥬피터1호_DONGJIN CONTINENTAL_2024-06-15_target_101_aisData.csv,쥬피터1호_DONGJIN CONTINENTAL_2024-06-15_tug_101_aisData.csv
미,"S,미",RESURGENCE,연안부두정계지,PAL,ICT1,연안부두정계지,2024-06-15T14:30:32.000Z,2024-06-15T15:10:32.000Z,5.6,26.0,3.9,35.0,JU,9443,풀컨테이너선,2024-06-15T14:00:00.000Z,2024-06-15T14:00:00.000Z,PAL,ICT1,S미,,뉴월미호_RESURGENCE_2024-06-15_target_102_aisData.csv,뉴월미호_RESURGENCE_2024-06-15_tug_102_aisData.csv
Z,"Z,J",YM CELEBRITY,연안부두정계지,PAL,ICT2,연안부두정계지,2024-06-15T18:05:33.000Z,2024-06-15T18:49:33.000Z,6.1,22.0,4.2,39.0,KB,32720,풀컨테이너선,2024-06-15T17:30:00.000Z,2024-06-15T17:30:00.000Z,PAL,ICT2,ZJ,,대성호_YM CELEBRITY_2024-06-15_target_103_aisData.csv,대성호_YM CELEBRITY_2024-06-15_tug_103_aisData.csv
I,"I,K",XIN HE DA,,NPPS,HJIT1,,2024-06-15T13:34:33.000Z,2024-06-15T13:51:33.000Z,1.7,10.0,0.0,0.0,LO,7808,세미(혼재)컨테이너선,2024-06-15T13:00:00.000Z,2024-06-15T13:30:00.000Z,NPPS,HJIT1,IK,,쥬피터1호_XIN HE DA_2024-06-15_target_104_aisData.csv,쥬피터1호_XIN HE DA_2024-06-15_tug_104_aisData.csv
I,I,SITC HENGDE,,HJIT3,NPPS,,2024-06-16T01:49:33.000Z,2024-06-16T02:08:33.000Z,0.0,0.0,0.0,14.0,JU,18820,풀컨테이너선,2024-06-16T02:00:00.000Z,2024-06-16T02:00:00.000Z,HJIT3,NPPS,I,JU,쥬피터1호_SITC HENGDE_2024-06-16_target_105_aisData.csv,쥬피터1호_SITC HENGDE_2024-06-16_tug_105_aisData.csv
N,"S,N",KEOJE CORDELIA,북항임시정계지,PAL,N-HOB,연안부두정계지,2024-06-16T05:35:33.000Z,2024-06-16T06:13:33.000Z,6.8,82.0,3.9,33.0,KB,8689,석유제품 운반선,2024-06-16T04:30:00.000Z,2024-06-16T04:30:00.000Z,PAL,N-HOB,SN,KB,뉴엔젤호_KEOJE CORDELIA_2024-06-16_target_106_aisData.csv,뉴엔젤호_KEOJE CORDELIA_2024-06-16_tug_106_aisData.csv
I,"I,K",XIN HE DA,,HJIT1,NPPS,,2024-06-16T07:12:33.000Z,2024-06-16T07:22:33.000Z,0.0,2.0,0.2,5.0,BJ,7808,세미(혼재)컨테이너선,2024-06-16T07:00:00.000Z,2024-06-16T07:00:00.000Z,HJIT1,NPPS,IK,BJ,쥬피터1호_XIN HE DA_2024-06-16_target_107_aisData.csv,쥬피터1호_XIN HE DA_2024-06-16_tug_107_aisData.csv
I,"I,K",SITC CHANGMING,,NPPS,HJIT1,,2024-06-16T07:18:33.000Z,2024-06-16T07:36:33.000Z,0.0,2.0,0.1,13.0,KU,29274,풀컨테이너선,2024-06-16T07:00:00.000Z,2024-06-16T07:00:00.000Z,NPPS,HJIT1,IK,KU,쥬피터1호_SITC CHANGMING_2024-06-16_target_108_aisData.csv,쥬피터1호_SITC CHANGMING_2024-06-16_tug_108_aisData.csv
M,"F3,M,A,비,동",WOOYANG CLES,연안부두정계지,LEN,22,연안부두정계지,2024-06-16T08:10:33.000Z,2024-06-16T08:59:33.000Z,3.2,15.0,5.2,44.0,KN,26303,산물선(벌크선),2024-06-16T08:30:00.000Z,2024-06-16T08:30:00.000Z,LEN,22,F3MA비동,KN,뉴마스호_WOOYANG CLES_2024-06-16_target_109_aisData.csv,뉴마스호_WOOYANG CLES_2024-06-16_tug_109_aisData.csv
T,"T,W",SKY VICTORIA,,PAL,E1CT,,2024-06-16T11:35:33.000Z,2024-06-16T11:45:33.000Z,0.2,2.0,2.0,25.0,,9592,풀컨테이너선,2024-06-16T10:00:00.000Z,2024-06-16T10:00:00.000Z,PAL,E1CT,TW,,대창호_SKY VICTORIA_2024-06-16_target_110_aisData.csv,대창호_SKY VICTORIA_2024-06-16_tug_110_aisData.csv
T,"T,R",LINA,연안부두정계지,SAMPYO,PAL,,2024-06-16T10:22:33.000Z,2024-06-16T11:13:33.000Z,5.0,22.0,3.2,46.0,,6983,산물선(벌크선),2024-06-16T11:00:00.000Z,2024-06-16T11:00:00.000Z,SAMPYO,PAL,TR,,대창호_LINA_2024-06-16_target_111_aisData.csv,대창호_LINA_2024-06-16_tug_111_aisData.csv
미,미,SKOON A,연안부두정계지,PAL,N16,연안부두정계지,2024-06-16T09:49:33.000Z,2024-06-16T10:21:33.000Z,9.9,38.0,3.5,27.0,GJ,2972,일반화물선,2024-06-16T09:00:00.000Z,2024-06-16T09:00:00.000Z,PAL,N16,미,,뉴월미호_SKOON A_2024-06-16_target_112_aisData.csv,뉴월미호_SKOON A_2024-06-16_tug_112_aisData.csv
Z,"Z,G,A,비,명",GLOVIS COMPANION,연안부두정계지,PAL,52,연안부두정계지,2024-06-16T09:46:33.000Z,2024-06-16T10:15:33.000Z,5.0,23.0,3.4,24.0,YM,60213,자동차운반선,2024-06-16T09:30:00.000Z,2024-06-16T09:30:00.000Z,PAL,52,ZGA비명,,대성호_GLOVIS COMPANION_2024-06-16_target_113_aisData.csv,대성호_GLOVIS COMPANION_2024-06-16_tug_113_aisData.csv
M,"F3,M",SUNRISE GLORY,연안부두정계지,SKI 3,DONG,연안부두정계지,2024-06-16T11:30:33.000Z,2024-06-16T12:27:33.000Z,20.3,94.0,3.6,52.0,SK,29649,석유제품 운반선,2024-06-16T12:00:00.000Z,2024-06-16T12:00:00.000Z,SKI 3,DONG,F3M,,뉴마스호_SUNRISE GLORY_2024-06-16_target_114_aisData.csv,뉴마스호_SUNRISE GLORY_2024-06-16_tug_114_aisData.csv
N,"N,O,O,진",VW FORTUNE,연안부두정계지,PAL,50,연안부두정계지,2024-06-16T14:11:34.000Z,2024-06-16T14:47:34.000Z,1.5,8.0,5.2,31.0,LO,6566,산물선(벌크선),2024-06-16T13:30:00.000Z,2024-06-16T13:30:00.000Z,PAL,50,NOO진,,뉴엔젤호_VW FORTUNE_2024-06-16_target_115_aisData.csv,뉴엔젤호_VW FORTUNE_2024-06-16_tug_115_aisData.csv
미,"S,미",KS HONOR,연안부두정계지,SKI 2,PAL,,2024-06-16T19:36:33.000Z,2024-06-16T19:46:33.000Z,6.4,24.0,2.3,26.0,,7057,석유제품 운반선,2024-06-16T19:30:00.000Z,2024-06-16T21:30:00.000Z,SKI 2,PAL,S미,,뉴월미호_KS HONOR_2024-06-16_target_116_aisData.csv,뉴월미호_KS HONOR_2024-06-16_tug_116_aisData.csv
I,I,REVERENCE,,SNCT2,NPPS,,2024-06-16T15:44:33.000Z,2024-06-16T16:11:33.000Z,1.0,68.0,0.0,0.0,KB,9990,풀컨테이너선,2024-06-16T16:00:00.000Z,2024-06-16T00:30:00.000Z,NPPS,SNCT2,IK,JU,쥬피터1호_REVERENCE_2024-06-16_target_117_aisData.csv,쥬피터1호_REVERENCE_2024-06-16_tug_117_aisData.csv
H,H,YM CELEBRITY,연안부두정계지,ICT2,PAL,연안부두정계지,2024-06-16T16:39:33.000Z,2024-06-16T17:10:33.000Z,3.6,16.0,1.3,26.0,KU,32720,풀컨테이너선,2024-06-16T17:00:00.000Z,2024-06-16T20:00:00.000Z,ICT2,PAL,D,,한창1호_YM CELEBRITY_2024-06-16_target_118_aisData.csv,한창1호_YM CELEBRITY_2024-06-16_tug_118_aisData.csv
I,"K,I",KMTC TOKYO,,NPPS,HJIT3,송도정계지,2024-06-16T18:09:33.000Z,2024-06-16T18:23:33.000Z,1.8,16.0,2.8,9.0,KN,17853,풀컨테이너선,2024-06-16T17:00:00.000Z,2024-06-16T17:00:00.000Z,NPPS,HJIT3,KI,,쥬피터1호_KMTC TOKYO_2024-06-16_target_119_aisData.csv,쥬피터1호_KMTC TOKYO_2024-06-16_tug_119_aisData.csv
진,"O,진",GAIN OCEAN,,44,PAL,,2024-06-16T15:11:34.000Z,2024-06-16T15:56:34.000Z,0.0,2.0,0.0,40.0,BJ,4912,일반화물선,2024-06-16T18:00:00.000Z,2024-06-16T17:00:00.000Z,44,PAL,O진,,뉴약진호_GAIN OCEAN_2024-06-16_target_120_aisData.csv,뉴약진호_GAIN OCEAN_2024-06-16_tug_120_aisData.csv
M,"L,M",POS HOCHIMINH,연안부두정계지,NPPS,SNCT2,,2024-06-16T18:12:33.000Z,2024-06-16T18:22:33.000Z,21.6,80.0,2.4,27.0,KB,18085,풀컨테이너선,2024-06-16T17:00:00.000Z,2024-06-16T17:00:00.000Z,NPPS,SNCT2,LH,,뉴마스호_POS HOCHIMINH_2024-06-16_target_121_aisData.csv,뉴마스호_POS HOCHIMINH_2024-06-16_tug_121_aisData.csv
M,"L,M",YA LU JIANG,,NPPS,SNCT3,,2024-06-16T18:18:34.000Z,2024-06-16T18:51:33.000Z,0.4,2.0,4.5,28.0,KU,5250,세미(혼재)컨테이너선,2024-06-16T18:00:00.000Z,2024-06-16T18:00:00.000Z,NPPS,SNCT3,LI,,뉴마스호_YA LU JIANG_2024-06-16_target_122_aisData.csv,뉴마스호_YA LU JIANG_2024-06-16_tug_122_aisData.csv
미,"미,성",FC DELLA,,PAL,N-HOB,연안부두정계지,2024-06-16T21:01:33.000Z,2024-06-16T21:47:33.000Z,6.3,30.0,4.0,41.0,,4956,케미칼 운반선,2024-06-16T20:00:00.000Z,2024-06-16T21:00:00.000Z,PAL,N-HOB,미성,,뉴월미호_FC DELLA_2024-06-16_target_123_aisData.csv,뉴월미호_FC DELLA_2024-06-16_tug_123_aisData.csv
명,"비,명,동",GLOVIS COMPANION,내항정계지,52,DONG,내항정계지,2024-06-16T22:46:34.000Z,2024-06-16T23:41:34.000Z,1.6,8.0,2.5,50.0,HY,60213,자동차운반선,2024-06-16T23:00:00.000Z,2024-06-16T09:30:00.000Z,PAL,52,ZGA비명,,대명호_GLOVIS COMPANION_2024-06-16_target_124_aisData.csv,대명호_GLOVIS COMPANION_2024-06-16_tug_124_aisData.csv
I,"I,K",CONSISTENCE,송도정계지,NPPS,HJIT2,송도정계지,2024-06-17T00:00:33.000Z,2024-06-17T00:20:33.000Z,8.7,579.0,1.5,15.0,OS,9972,풀컨테이너선,2024-06-16T23:30:00.000Z,2024-06-16T23:30:00.000Z,NPPS,HJIT1,IK,,쥬피터1호_CONSISTENCE_2024-06-17_target_125_aisData.csv,쥬피터1호_CONSISTENCE_2024-06-17_tug_125_aisData.csv
N,"W,N",BAO HONG 8,연안부두정계지,PAL,N12,,2024-06-17T01:40:34.000Z,2024-06-17T02:20:34.000Z,9.4,273.0,5.3,35.0,SK,4517,일반화물선,2024-06-17T01:00:00.000Z,2024-06-17T01:00:00.000Z,PAL,N12,WN,SK,뉴엔젤호_BAO HONG 8_2024-06-17_target_126_aisData.csv,뉴엔젤호_BAO HONG 8_2024-06-17_tug_126_aisData.csv
Z,"F1,G,Z,비,명",SANG SHIN,연안부두정계지,PAL,52,연안부두정계지,2024-06-17T02:11:33.000Z,2024-06-17T02:35:33.000Z,5.2,32.0,3.1,19.0,CG,50308,자동차운반선,2024-06-17T01:30:00.000Z,2024-06-17T01:30:00.000Z,PAL,52,F1GZ비명,CG,대성호_SANG SHIN_2024-06-17_target_127_aisData.csv,대성호_SANG SHIN_2024-06-17_tug_127_aisData.csv
명,"비,명,해",TORTUGAS,,53,PAL,,2024-06-17T03:21:34.000Z,2024-06-17T04:36:34.000Z,0.0,0.0,2.5,70.0,KB,61321,자동차운반선,2024-06-17T04:00:00.000Z,2024-06-17T04:00:00.000Z,53,PAL,비명해,KB,대명호_TORTUGAS_2024-06-17_target_128_aisData.csv,대명호_TORTUGAS_2024-06-17_tug_128_aisData.csv
명,"A,J,F1,비,명",LIBERTY KING,내항정계지,PAL,60,내항정계지,2024-06-17T06:21:34.000Z,2024-06-17T07:17:34.000Z,1.5,13.0,2.4,51.0,BJ,55729,자동차운반선,2024-06-17T04:30:00.000Z,2024-06-17T04:30:00.000Z,PAL,60,AJF1비명,BJ,대명호_LIBERTY KING_2024-06-17_target_129_aisData.csv,대명호_LIBERTY KING_2024-06-17_tug_129_aisData.csv
N,"E,N",WOOLIM DRAGON,,PAL,SOD1,,2024-06-17T06:36:34.000Z,2024-06-17T07:17:34.000Z,11.8,286.0,2.4,36.0,SK,5197,석유제품 운반선,2024-06-17T06:00:00.000Z,2024-06-17T06:00:00.000Z,PAL,SOD1,EN,SK,뉴엔젤호_WOOLIM DRAGON_2024-06-17_target_130_aisData.csv,뉴엔젤호_WOOLIM DRAGON_2024-06-17_tug_130_aisData.csv
N,"S,N",WOO SEOK,연안부두정계지,PAL,SKI 2,북항임시정계지,2024-06-17T15:35:34.000Z,2024-06-17T16:20:34.000Z,5.9,31.0,4.4,40.0,,2362,석유제품 운반선,2024-06-17T15:00:00.000Z,2024-06-17T15:00:00.000Z,PAL,SKI 2,SN,,뉴엔젤호_WOO SEOK_2024-06-17_target_131_aisData.csv,뉴엔젤호_WOO SEOK_2024-06-17_tug_131_aisData.csv
I,"성,I",XIN MING ZHOU 20,송도정계지,NPPS,SNCT2,,2024-06-17T12:20:34.000Z,2024-06-17T12:32:34.000Z,2.5,30.0,0.0,7.0,LO,9653,풀컨테이너선,2024-06-17T12:00:00.000Z,2024-06-17T10:30:00.000Z,NPPS,SNCT2,LI,,쥬피터1호_XIN MING ZHOU 20_2024-06-17_target_132_aisData.csv,쥬피터1호_XIN MING ZHOU 20_2024-06-17_tug_132_aisData.csv
미,"E,미",XIN YU JIN XIANG,연안부두정계지,PAL,NIPT6,연안부두정계지,2024-06-17T17:38:33.000Z,2024-06-17T18:09:33.000Z,6.9,32.0,3.4,26.0,KK,12304,국제카페리,2024-06-17T17:00:00.000Z,2024-06-17T15:00:00.000Z,PAL,NIPT6,E미,,뉴월미호_XIN YU JIN XIANG_2024-06-17_target_133_aisData.csv,뉴월미호_XIN YU JIN XIANG_2024-06-17_tug_133_aisData.csv
명,"비,명,해",LIBERTY KING,내항정계지,60,PAL,,2024-06-17T16:33:34.000Z,2024-06-17T17:28:34.000Z,0.9,5.0,1.4,50.0,UM,55729,자동차운반선,2024-06-17T17:00:00.000Z,2024-06-17T04:30:00.000Z,PAL,60,AJF1비명,BJ,대명호_LIBERTY KING_2024-06-17_target_134_aisData.csv,대명호_LIBERTY KING_2024-06-17_tug_134_aisData.csv
진,"S,진",BR FAIRY,,PAL,30,내항정계지,2024-06-17T19:35:34.000Z,2024-06-17T20:05:34.000Z,1.6,12.0,3.3,25.0,SC,2509,일반화물선,2024-06-17T18:00:00.000Z,2024-06-17T18:00:00.000Z,PAL,30,W진,,뉴약진호_BR FAIRY_2024-06-17_target_135_aisData.csv,뉴약진호_BR FAIRY_2024-06-17_tug_135_aisData.csv
명,"비,명,동",SANG SHIN,,52,DONG,,2024-06-17T17:26:34.000Z,2024-06-17T18:29:34.000Z,0.0,0.0,0.3,58.0,JJ,50308,자동차운반선,2024-06-17T19:00:00.000Z,2024-06-17T01:30:00.000Z,PAL,52,F1GZ비명,CG,대명호_SANG SHIN_2024-06-17_target_136_aisData.csv,대명호_SANG SHIN_2024-06-17_tug_136_aisData.csv
