배정예선,선박명,작업 시작지,작업 종료지,스케줄 시작 시각,도선사,톤수
"N,O",OCEAN GAS,SKI 1,PAL,2024-06-10T07:00:00.000Z,,3678
"Q,S",FC GRACE,PAL,SOD1,2024-06-10T13:00:00.000Z,,4960
"J,L",FOLEGANDROS,NPPS,HJIT3,2024-06-10T06:00:00.000Z,RW,66332
L,KMTC LAEM CHABANG,HJIT3,NPPS,2024-06-10T05:00:00.000Z,RW,18318
"동,진",한나래,12,PAL,2024-06-10T10:00:00.000Z,,6280
"K,성",XIN MING ZHOU 20,SNCT1,NPPS,2024-06-10T07:00:00.000Z,RW,9653
N,DOOLA #7,N-HOB,PAL,2024-06-10T03:00:00.000Z,,6402
"R,T",DRAGON STAR,PAL,SSC,2024-06-10T19:00:00.000Z,,5683
"T,R",MORNING NURI,PAL,RHC,2024-06-10T18:00:00.000Z,,5222
"L,K",SUNNY CAMELLIA,NPPS,SNCT1,2024-06-10T17:30:00.000Z,,9563
"I,K",KOREA VISION,BUKJ2,E1GT,2024-06-10T15:00:00.000Z,,3872
"I,성",AN DONG 68,NPPS,SNCT2,2024-06-10T07:00:00.000Z,JJ,3988
"O,S",XIN YU JIN XIANG,PAL,NIPT6,2024-06-10T15:00:00.000Z,,12304
E,MORNING STAR,RHC,PAL,2024-06-10T06:00:00.000Z,,6117
"T,진",XIN SHENG SHENG 6,PAL,42,2024-06-10T06:00:00.000Z,CY,2995
"Q,S",SJ HOPE,SOD1,W11,2024-06-10T12:30:00.000Z,,5025
"F1,Z",WEAVER ARROW,PAL,N12,2024-06-10T05:00:00.000Z,JH,36008
I,CONSISTENCE,HJIT1,NPPS,2024-06-10T10:00:00.000Z,,9972
"성,Q",KEOJE CORDELIA,PAL,N-HOB,2024-06-10T18:30:00.000Z,,8689
"O,W",VICTORY STAR,PAL,E1CT,2024-06-10T23:00:00.000Z,,7406
"S,N,진",XINXIWANGMINGYUAN,N11,25,2024-06-10T18:00:00.000Z,,2589
"미,성",NO.1 EUNHEE,PAL,SKI 1,2024-06-10T13:00:00.000Z,,2458
N,SOONI,N31,PAL,2024-06-10T20:00:00.000Z,,2715
O,K GAS,PAL,SOD1,2024-06-10T18:30:00.000Z,,1002
